1665524050.448428 client started (9459): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1665524050.448488 on Darwin 21.5.0 Darwin Kernel Version 21.5.0: Tue Apr 26 21:08:29 PDT 2022; root:xnu-8020.121.3~4/RELEASE_ARM64_T8101
1665524050.448711 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1665524050.451480 sending message 112 to peer 0x140008000 (9 bytes)
1665524050.451485 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451490 sending message 112 to peer 0x140008000 (8 bytes)
1665524050.451494 sending message 112 to peer 0x140008000 (8 bytes)
1665524050.451499 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451504 sending message 112 to peer 0x140008000 (7 bytes)
1665524050.451509 sending message 112 to peer 0x140008000 (7 bytes)
1665524050.451514 sending message 112 to peer 0x140008000 (9 bytes)
1665524050.451519 sending message 112 to peer 0x140008000 (9 bytes)
1665524050.451523 sending message 112 to peer 0x140008000 (15 bytes)
1665524050.451528 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451533 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451538 sending message 112 to peer 0x140008000 (8 bytes)
1665524050.451543 sending message 112 to peer 0x140008000 (14 bytes)
1665524050.451547 sending message 112 to peer 0x140008000 (11 bytes)
1665524050.451552 sending message 112 to peer 0x140008000 (9 bytes)
1665524050.451557 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.451563 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.451568 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.451572 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.451577 sending message 112 to peer 0x140008000 (11 bytes)
1665524050.451598 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451601 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451604 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451608 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451611 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451614 sending message 112 to peer 0x140008000 (11 bytes)
1665524050.451616 sending message 112 to peer 0x140008000 (11 bytes)
1665524050.451619 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451622 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451625 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451628 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451631 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451634 sending message 112 to peer 0x140008000 (9 bytes)
1665524050.451637 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451639 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451642 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451645 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451648 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451651 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451653 sending message 112 to peer 0x140008000 (8 bytes)
1665524050.451656 sending message 112 to peer 0x140008000 (11 bytes)
1665524050.451659 sending message 112 to peer 0x140008000 (11 bytes)
1665524050.451662 sending message 112 to peer 0x140008000 (11 bytes)
1665524050.451665 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451668 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451671 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451674 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451676 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451679 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451682 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451685 sending message 112 to peer 0x140008000 (8 bytes)
1665524050.451688 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451690 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451693 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451696 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451699 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451702 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451706 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451709 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451711 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451714 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451717 sending message 112 to peer 0x140008000 (8 bytes)
1665524050.451720 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451723 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451726 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451729 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451732 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451735 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451738 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451741 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451744 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451747 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451750 sending message 112 to peer 0x140008000 (8 bytes)
1665524050.451753 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451756 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451759 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451762 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451765 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451768 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451778 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451781 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451784 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451787 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451790 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.451792 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451795 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451798 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451801 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451804 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451807 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451810 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451813 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451816 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451819 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451821 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.451824 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451827 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451831 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451834 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451837 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.451840 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.451843 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.451846 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451849 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451852 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451855 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451858 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451861 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451864 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.451866 sending message 112 to peer 0x140008000 (11 bytes)
1665524050.451869 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451872 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451875 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451878 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451880 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451883 sending message 112 to peer 0x140008000 (11 bytes)
1665524050.451886 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451889 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451892 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451894 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451897 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451901 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451904 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451907 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.451909 sending message 112 to peer 0x140008000 (9 bytes)
1665524050.451912 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451915 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451918 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451921 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451924 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451927 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451929 sending message 112 to peer 0x140008000 (9 bytes)
1665524050.451932 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451935 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451938 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451941 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451944 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451947 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451950 sending message 112 to peer 0x140008000 (11 bytes)
1665524050.451960 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451963 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451966 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451969 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451971 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451974 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451977 sending message 112 to peer 0x140008000 (11 bytes)
1665524050.451980 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451983 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451986 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451989 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451992 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.451995 sending message 112 to peer 0x140008000 (21 bytes)
1665524050.451998 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.452001 sending message 112 to peer 0x140008000 (9 bytes)
1665524050.452003 sending message 112 to peer 0x140008000 (6 bytes)
1665524050.452006 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.452009 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.452012 sending message 112 to peer 0x140008000 (24 bytes)
1665524050.452015 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.452018 sending message 112 to peer 0x140008000 (9 bytes)
1665524050.452021 sending message 112 to peer 0x140008000 (70 bytes)
1665524050.452024 sending message 112 to peer 0x140008000 (69 bytes)
1665524050.452027 sending message 112 to peer 0x140008000 (12 bytes)
1665524050.452030 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.452033 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.452035 sending message 112 to peer 0x140008000 (24 bytes)
1665524050.452038 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.452041 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.452044 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.452047 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.452051 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.452054 sending message 112 to peer 0x140008000 (15 bytes)
1665524050.452056 sending message 112 to peer 0x140008000 (5 bytes)
1665524050.452060 sending message 104 to peer 0x140008000 (0 bytes)
1665524050.452064 sending message 110 to peer 0x140008000 (0 bytes)
1665524050.452067 sending message 107 to peer 0x140008000 (4 bytes)
1665524050.452071 sending message 105 to peer 0x140008000 (60 bytes)
1665524050.452075 sending message 105 to peer 0x140008000 (66 bytes)
1665524050.452078 sending message 105 to peer 0x140008000 (27 bytes)
1665524050.452080 sending message 105 to peer 0x140008000 (15 bytes)
1665524050.452083 sending message 105 to peer 0x140008000 (22 bytes)
1665524050.452086 sending message 105 to peer 0x140008000 (14 bytes)
1665524050.452089 sending message 105 to peer 0x140008000 (17 bytes)
1665524050.452092 sending message 105 to peer 0x140008000 (36 bytes)
1665524050.452096 sending message 105 to peer 0x140008000 (15 bytes)
1665524050.452099 sending message 105 to peer 0x140008000 (43 bytes)
1665524050.452102 sending message 105 to peer 0x140008000 (24 bytes)
1665524050.452105 sending message 105 to peer 0x140008000 (28 bytes)
1665524050.452107 sending message 105 to peer 0x140008000 (23 bytes)
1665524050.452110 sending message 105 to peer 0x140008000 (378 bytes)
1665524050.452113 sending message 105 to peer 0x140008000 (19 bytes)
1665524050.452116 sending message 105 to peer 0x140008000 (20 bytes)
1665524050.452119 sending message 105 to peer 0x140008000 (22 bytes)
1665524050.452122 sending message 105 to peer 0x140008000 (20 bytes)
1665524050.452125 sending message 105 to peer 0x140008000 (24 bytes)
1665524050.452128 sending message 105 to peer 0x140008000 (57 bytes)
1665524050.452130 sending message 105 to peer 0x140008000 (17 bytes)
1665524050.452133 sending message 105 to peer 0x140008000 (19 bytes)
1665524050.452149 sending message 105 to peer 0x140008000 (20 bytes)
1665524050.452152 sending message 105 to peer 0x140008000 (54 bytes)
1665524050.452155 sending message 105 to peer 0x140008000 (32 bytes)
1665524050.452157 sending message 105 to peer 0x140008000 (61 bytes)
1665524050.452161 sending message 105 to peer 0x140008000 (8 bytes)
1665524050.452164 sending message 105 to peer 0x140008000 (45 bytes)
1665524050.452167 sending message 105 to peer 0x140008000 (30 bytes)
1665524050.452169 sending message 105 to peer 0x140008000 (37 bytes)
1665524050.452172 sending message 105 to peer 0x140008000 (34 bytes)
1665524050.452175 sending message 105 to peer 0x140008000 (91 bytes)
1665524050.452178 sending message 105 to peer 0x140008000 (35 bytes)
1665524050.452181 sending message 105 to peer 0x140008000 (32 bytes)
1665524050.452184 sending message 105 to peer 0x140008000 (16 bytes)
1665524050.452187 sending message 105 to peer 0x140008000 (59 bytes)
1665524050.452190 sending message 105 to peer 0x140008000 (68 bytes)
1665524050.452192 sending message 105 to peer 0x140008000 (34 bytes)
1665524050.452196 sending message 105 to peer 0x140008000 (11 bytes)
1665524050.452199 sending message 105 to peer 0x140008000 (11 bytes)
1665524050.452204 sending message 105 to peer 0x140008000 (32 bytes)
1665524050.452207 sending message 105 to peer 0x140008000 (25 bytes)
1665524050.452210 sending message 106 to peer 0x140008000 (0 bytes)
1665524050.452267 sending message 200 to peer 0x140008000 (4 bytes)
1665524050.452271 client loop enter
1665524050.454299 peer 0x140008000 message 207
1665524050.454308 sending message 208 to peer 0x140008000 (0 bytes)
1665524092.883775 peer 0x140008000 message 203
1665524092.883965 sending message 205 to peer 0x140008000 (0 bytes)
1665524092.884100 peer 0x140008000 message 204
1665524092.884110 client loop exit
